date,year,month,day,1364 ｉシェアーズ JPX日経400 ETF,1369 One ETF 日経225,1385 UBS ETF ユーロ圏大型株50(E･ストックス50),1386 UBS ETF 欧州株(MSCIヨーロッパ),1389 UBS ETF 英国大型株100(FTSE 100),1390 UBS ETF MSCIアジア太平洋株(除く日本),1391 UBS ETF スイス株(MSCIスイス20/35),1392 UBS ETF 英国株(MSCI英国),1393 UBS ETF 米国株(MSCI米国),1394 UBS ETF 先進国株(MSCIワールド),1458 楽天 ETF-日経レバレッジ指数連動型,1459 楽天 ETF-日経ダブルインバース指数連動型,1473 One ETF トピックス,1474 One ETF JPX日経400,1475 iシェアーズ・コア TOPIX ETF,1476 iシェアーズ・コア Ｊリート ETF,1477 iシェアーズ MSCI 日本株最小分散 ETF,1478 iシェアーズ MSCI ジャパン高配当利回り ETF,1482 iシェアーズ・コア 米国債7-10年ETF(H有),1483 iシェアーズ JPX/S&P 設備･人材投資ETF,1484 One ETF JPX/S&P 設備･人材投資指数,1489 (NEXT FUNDS)日経平均高配当株50指数連動型ETF,1493 One ETF JPX日経中小型,1494 One ETF 高配当日本株,1496 iシェアーズ 米ドル建て投資適格社債ETF(H有),1497 iシェアーズ 米ドル建ハイイールド社債ETF(H有),1498 One ETF ESG,1552 国際のETF VIX短期先物指数,1557 SPDR S&P500 ETF,1575 ChinaAMC CSI 300 Index ETF-JDR,1576 南方 FTSE 中国A株 50 ETF,1577 (NEXT FUNDS)野村日本株高配当70連動型ETF,1655 iシェアーズ S&P500 米国株 ETF,1656 iシェアーズ･コア　米国債7-10年 ETF,1657 iシェアーズ･コア MSCI 先進国株(除く日本)ETF,1658 iシェアーズ･コア MSCI 新興国株 ETF,1659 iシェアーズ 米国リート ETF,2516 東証マザーズETF,2522 iシェアーズ オートメーション&ロボット ETF,2555 東証REIT ETF,サイバーエージェント：前日比,サイバーエージェント：翌日比
2020-12-08,2020,12,8,10.0,-80.0,-5.0,20.0,-120.0,-115.0,18.0,36.0,200.0,140.0,-100.0,14.0,0.0,-40.0,-2.0,10.0,7.0,-8.0,3.0,0.0,2.0,-100.0,140.0,10.0,-1.0,-9.0,-40.0,20.0,-50.0,-6.0,1.0,-70.0,-6.0,4.0,5.0,1.0,-15.0,14.0,25.0,9.0,280.0,-60.0
2020-12-07,2020,12,7,-160.0,-210.0,40.0,-50.0,260.0,165.0,-21.0,35.0,0.0,-60.0,-250.0,32.0,-17.0,-140.0,-17.0,-10.0,-16.0,3.0,-7.0,1.0,-13.0,0.0,-190.0,-130.0,-12.0,9.0,-110.0,10.0,250.0,-8.0,11.0,-70.0,14.0,-5.0,2.0,-3.0,32.0,-46.0,10.0,-2.0,-70.0,280.0
2020-12-04,2020,12,4,-60.0,-40.0,-65.0,-110.0,-50.0,35.0,-59.0,-20.0,0.0,-320.0,-70.0,7.0,1.0,30.0,-1.0,11.0,-1.0,6.0,5.0,-6.0,4.0,70.0,-40.0,50.0,10.0,6.0,30.0,-20.0,-150.0,1.0,-6.0,90.0,-4.0,-6.0,5.0,19.0,13.0,-16.0,10.0,7.0,-170.0,-70.0
2020-12-03,2020,12,3,130.0,50.0,40.0,80.0,10.0,15.0,90.0,30.0,-150.0,520.0,50.0,-4.0,5.0,10.0,6.0,-3.0,2.0,8.0,-4.0,0.0,-12.0,210.0,10.0,110.0,-6.0,4.0,-10.0,-10.0,200.0,-18.0,10.0,120.0,11.0,-2.0,13.0,20.0,-2.0,-28.0,0.0,-3.0,-120.0,-170.0
2020-12-02,2020,12,2,-30.0,-60.0,25.0,-90.0,170.0,-20.0,2.0,1.0,250.0,-20.0,-10.0,2.0,3.0,10.0,1.0,-14.0,-5.0,20.0,-10.0,1.0,7.0,360.0,180.0,160.0,-11.0,6.0,110.0,120.0,-50.0,7.0,-4.0,150.0,-4.0,-14.0,0.0,3.0,1.0,4.0,-15.0,-15.0,0.0,-120.0
2020-12-01,2020,12,1,100.0,360.0,50.0,-10.0,-60.0,15.0,3.0,59.0,300.0,10.0,400.0,-55.0,18.0,150.0,19.0,19.0,-1.0,5.0,-2.0,3.0,5.0,180.0,170.0,170.0,7.0,2.0,60.0,-280.0,600.0,32.0,12.0,190.0,45.0,14.0,35.0,32.0,6.0,25.0,60.0,24.0,30.0,0.0
2020-11-30,2020,11,30,-240.0,-190.0,20.0,50.0,-30.0,-5.0,-3.0,-35.0,-250.0,640.0,-240.0,29.0,-38.0,-330.0,-38.0,-8.0,-29.0,-42.0,2.0,-1.0,-25.0,-830.0,-420.0,-480.0,9.0,1.0,-250.0,130.0,-200.0,-2.0,-7.0,-560.0,-16.0,0.0,-14.0,-34.0,-22.0,22.0,15.0,-6.0,220.0,30.0
2020-11-27,2020,11,27,80.0,120.0,-40.0,-30.0,-30.0,10.0,0.0,-10.0,-100.0,150.0,120.0,-16.0,9.0,100.0,10.0,17.0,2.0,-1.0,3.0,-2.0,25.0,-70.0,220.0,80.0,5.0,0.0,40.0,0.0,-150.0,7.0,0.0,80.0,-15.0,-8.0,-7.0,-4.0,-14.0,4.0,-15.0,7.0,180.0,220.0
2020-11-26,2020,11,26,210.0,270.0,0.0,-30.0,-90.0,20.0,25.0,-23.0,0.0,390.0,320.0,-44.0,14.0,120.0,12.0,-3.0,-1.0,-10.0,4.0,10.0,4.0,-20.0,110.0,-40.0,2.0,0.0,70.0,-270.0,0.0,0.0,14.0,-80.0,-1.0,0.0,3.0,16.0,1.0,1.0,25.0,8.0,230.0,180.0
2020-11-25,2020,11,25,-20.0,100.0,50.0,320.0,30.0,20.0,-12.0,3.0,450.0,1480.0,130.0,-19.0,1.0,50.0,4.0,-5.0,-5.0,10.0,-3.0,53.0,34.0,10.0,-170.0,40.0,-6.0,0.0,60.0,70.0,300.0,-17.0,-2.0,90.0,26.0,0.0,20.0,-6.0,1.0,-19.0,10.0,-10.0,-10.0,230.0
